robot,scenario,solver,display_name,n,our_success_pct,sim_success_pct,success_agree_pct,our_collision_pct,sim_collision_pct,our_mean_clearance_m,sim_mean_clearance_m,our_mean_pos_mm,sim_mean_pos_mm,mean_ms,p95_ms
franka_panda,open_space,jacobian_dls,Jacobian (DLS),150,49.333333333333336,49.333333333333336,100.0,0.6666666666666667,12.666666666666668,0.03195049102389932,0.013444753671546392,121.11633871091966,121.11633876460748,55.685083330220856,118.75518998131156
franka_panda,open_space,ccd,CCD,150,24.0,24.0,100.0,0.6666666666666667,18.0,0.0321600633808646,0.010911191662000524,19.590798061977644,19.59080252886996,299.94863200079027,461.94677503081033
franka_panda,open_space,fabrik,FABRIK,150,22.666666666666664,22.666666666666664,100.0,0.0,22.0,0.03219930121812064,0.01059383054441186,45.176987179202065,45.17699027649555,204.52033933174485,258.64134501316585
franka_panda,open_space,trac_ik_style,TRAC-IK style,150,99.33333333333333,99.33333333333333,100.0,0.0,7.333333333333333,0.032431401346377446,0.015051192062665676,0.5695701796267442,0.5695699615155193,21.637460667019088,65.29557500907673
franka_panda,open_space,multi_start,Multi-start,150,99.33333333333333,99.33333333333333,100.0,0.0,6.0,0.032431401346377446,0.015782675970441598,0.45055485386859134,0.4505547506797514,150.48630599941438,202.66369498276612
franka_panda,open_space,protein_ik,ProteinIK (V1),150,96.66666666666667,96.66666666666667,100.0,0.0,11.333333333333332,0.03234845998139847,0.01380440195690061,7.345608015132672,7.345608540701657,78.68263333453797,256.1292149737706
franka_panda,open_space,protein_fast,ProteinIK Fast (V4),150,100.0,100.0,100.0,0.6666666666666667,8.666666666666668,0.03222054944921451,0.014650234214200615,0.3783114102033835,0.37831244363236094,30.626619330529746,179.84552002162673
franka_panda,open_space,pybullet_native_ik,PyBullet native IK,150,nan,81.33333333333333,nan,nan,28.000000000000004,nan,-0.0017785218866442271,nan,11.218952315798031,10.953120667642603,26.061735043185763
franka_panda,near_singular,jacobian_dls,Jacobian (DLS),150,50.0,50.0,100.0,2.0,12.666666666666668,0.03074041728858088,0.011082424310190568,84.37245593164575,84.37245483511252,51.80056800173285,97.87610998318995
franka_panda,near_singular,ccd,CCD,150,12.666666666666668,12.666666666666668,100.0,0.0,18.666666666666668,0.03230851853601488,0.010474488771165004,23.083980087232522,23.083982086526188,317.9917726642452,384.0418450097785
franka_panda,near_singular,fabrik,FABRIK,150,13.333333333333334,13.333333333333334,100.0,0.6666666666666667,22.0,0.03187478574466842,0.009211300045975482,50.763805264739425,50.76380694030277,223.25574666416892,259.2068899684818
franka_panda,near_singular,trac_ik_style,TRAC-IK style,150,99.33333333333333,99.33333333333333,100.0,0.0,11.333333333333332,0.03249638874965053,0.01339652194297539,0.8204970279173109,0.820493278727475,25.58762200293131,89.3014199915342
franka_panda,near_singular,multi_start,Multi-start,150,97.33333333333334,97.33333333333334,100.0,0.0,10.666666666666668,0.03246208886687178,0.014019246129853145,0.8035884396829479,0.8035872264006497,160.80198266659863,222.41489501029713
franka_panda,near_singular,protein_ik,ProteinIK (V1),150,90.0,90.0,100.0,0.6666666666666667,8.666666666666668,0.032181341638029576,0.014863080907431063,20.245319074940564,20.245317939263412,100.3571953306285,302.8405350167304
franka_panda,near_singular,protein_fast,ProteinIK Fast (V4),150,100.0,100.0,100.0,0.0,10.666666666666668,0.0324496398615895,0.013327753009218348,0.3966025846798011,0.39660560066802486,38.20665266675254,197.6764000166431
franka_panda,near_singular,pybullet_native_ik,PyBullet native IK,150,nan,64.66666666666666,nan,nan,24.0,nan,0.0022792497975078346,nan,16.00597563738256,17.683203332514193,28.924820022075433
franka_panda,cluttered,jacobian_dls,Jacobian (DLS),150,32.666666666666664,32.666666666666664,100.0,37.333333333333336,68.66666666666667,0.0075263930307016835,-0.041366295068966594,151.11231142944908,151.11231177653792,67.82005066711766,111.93473501189143
franka_panda,cluttered,ccd,CCD,150,11.333333333333332,11.333333333333332,100.0,46.666666666666664,81.33333333333333,-7.594209687277994e-05,-0.04973923689829773,16.976451623185923,16.976452395298153,318.2068246684503,370.0288849853677
franka_panda,cluttered,fabrik,FABRIK,150,20.666666666666668,20.666666666666668,100.0,31.333333333333336,74.66666666666667,0.008339578696461911,-0.0409355955114538,59.21923578445164,59.21923652437234,203.9956933372499,262.3569550021783
franka_panda,cluttered,trac_ik_style,TRAC-IK style,150,91.33333333333333,91.33333333333333,100.0,40.0,78.0,0.0031196754267596508,-0.04811562756019556,1.8812169820971387,1.8812167377372657,37.05318733196085,126.87242497049735
franka_panda,cluttered,multi_start,Multi-start,150,85.33333333333334,85.33333333333334,100.0,36.0,78.0,0.0038745701372261765,-0.046551454016992115,3.984381459298488,3.984380331280072,167.71733533552228,228.5766250075539
franka_panda,cluttered,protein_ik,ProteinIK (V1),150,83.33333333333334,83.33333333333334,100.0,31.333333333333336,72.0,0.008995406927199957,-0.041421633698494824,32.01684608286039,32.01684729143823,113.98549400037155,286.14071001939004
franka_panda,cluttered,protein_fast,ProteinIK Fast (V4),150,98.66666666666667,98.0,99.33333333333333,30.666666666666664,78.66666666666666,0.00961216209297929,-0.046064783078014315,0.8972441475999072,0.8972442207434621,144.65395066305064,753.7318349990528
franka_panda,cluttered,pybullet_native_ik,PyBullet native IK,150,nan,89.33333333333333,nan,nan,85.33333333333334,nan,-0.06195127270509436,nan,4.9169397420379815,8.058263997469718,23.16726499702781
